time,sim_x,sim_y,sim_z,vicon_x,vicon_y,vicon_z
15.22,0.40900000000000003,0.0,0.0,0.43658793059143786,0.002982743842169122,0.0004475799613501419
15.221,0.40900463539014226,0.0,0.0,0.43658729946693764,0.0029935436220902972,0.0004543483424546321
15.222000000000001,0.4090196241110566,0.0,0.0,0.4365866683424374,0.003004343402011491,0.0004611167235591344
15.223,0.40904538676175617,0.0,0.0,0.4365860372179372,0.003015143181932666,0.00046788510466362463
15.224,0.4090811618758543,0.0,0.0,0.436585406093437,0.0030259429618538407,0.00047465348576811487
15.225000000000001,0.40912547689433204,0.0,0.0,0.4365847749689368,0.003036742741775035,0.00048142186687261714
15.226,0.40917649386975774,0.0,0.0,0.43658414384443656,0.00304754252169621,0.0004881902479771074
15.227,0.4092322470723327,0.0,0.0,0.43658351271993634,0.0030583423016173846,0.0004949586290815976
15.228,0.4092907904427131,0.0,0.0,0.4365828815954361,0.0030691420815385597,0.0005017270101860879
15.229000000000001,0.409350280322332,0.0,0.0,0.4365822504709359,0.0030799418614597535,0.0005084953912905901
15.23,0.40940902105878607,0.0,0.0,0.4365816193464357,0.0030907416413809286,0.0005152637723950804
15.231,0.40946549368167906,0.0,0.0,0.43658077891886954,0.0030885698540642392,0.0005145877639890498
15.232000000000001,0.40951836748559844,0.0,0.0,0.43657993849130333,0.003086398066747546,0.0005139117555830182
15.233,0.4095665145617476,0.0,0.0,0.4365790980637372,0.0030842262794308567,0.0005132357471769876
15.234,0.4096090112493499,0.0,0.0,0.436578257636171,0.0030820544921141674,0.0005125597387709571
15.235000000000001,0.40964514792114154,0.0,0.0,0.4365774172086048,0.0030798827047974747,0.0005118837303649253
15.236,0.4096744289227032,0.0,0.0,0.43657657678103867,0.0030777109174807853,0.0005112077219588949
15.237,0.40969656494622286,0.0,0.0,0.43657573635347247,0.003075539130164096,0.0005105317135528643
15.238000000000001,0.4097114704324914,0.0,0.0,0.4365748959259063,0.003073367342847403,0.0005098557051468326
15.239,0.4097192545783457,0.0,0.0,0.4365740554983401,0.0030711955555307135,0.0005091796967408021
15.24,0.4097201986840916,0.0,0.0,0.43657321507077396,0.0030690237682140242,0.0005085036883347716
15.241000000000001,0.40971474036271605,0.0,0.0,0.43657278958577045,0.0030623447474311754,0.0005024107592172902
15.242,0.4097034568611563,0.0,0.0,0.43657236410076694,0.0030556657266483387,0.0004963178300998195
15.243,0.4096870346334074,0.0,0.0,0.4365719386157634,0.0030489867058655015,0.000490224900982349
15.244,0.4096662437394116,0.0,0.0,0.43657151313075987,0.003042307685082665,0.0004841319718648784
15.245000000000001,0.40964191743127265,0.0,0.0,0.43657108764575636,0.003035628664299816,0.00047803904274739697
15.246,0.4096149273689078,0.0,0.0,0.43657066216075285,0.0030289496435169793,0.0004719461136299264
15.247,0.409586148874448,0.0,0.0,0.43657023667574935,0.0030222706227341425,0.0004658531845124558
15.248000000000001,0.4095564445707347,0.0,0.0,0.4365698111907458,0.0030155916019512937,0.0004597602553949744
15.249,0.4095266451181736,0.0,0.0,0.4365693857057423,0.0030089125811684565,0.0004536673262775038
15.25,0.40949753354732776,0.0,0.0,0.43656896022073877,0.00300223356038562,0.0004475743971600332
15.251000000000001,0.4094698122371413,0.0,0.0,0.4365717051766709,0.0029961046274352733,0.0004413183699200551
15.252,0.40944409911489604,0.0,0.0,0.43657445013260304,0.0029899756944849376,0.00043506234268008814
15.253,0.4094209243112915,0.0,0.0,0.43657719508853515,0.002983846761534602,0.0004288063154401212
15.254000000000001,0.4094007181955318,0.0,0.0,0.4365799400444673,0.0029777178285842554,0.00042255028820014306
15.255,0.40938379941266756,0.0,0.0,0.43658268500039943,0.0029715888956339197,0.0004162942609601761
15.256,0.40937037998432135,0.0,0.0,0.43658542995633154,0.0029654599626835845,0.0004100382337202091
15.257000000000001,0.4093605724480973,0.0,0.0,0.4365881749122637,0.002959331029733238,0.000403782206480231
15.258000000000001,0.409354386787738,0.0,0.0,0.4365909198681958,0.0029532020967829023,0.000397526179240264
15.259,0.4093517341229569,0.0,0.0,0.436593664824128,0.0029470731638325666,0.000391270152000297
15.26,0.40935244427248463,0.0,0.0,0.4365964097800601,0.002940944230882231,0.00038501412476033003
15.261000000000001,0.4093562724844024,0.0,0.0,0.4365949529398397,0.002940106014115428,0.0003840947712711695
15.262,0.4093629077198573,0.0,0.0,0.4365934960996193,0.0029392677973486265,0.0003831754177820106
15.263,0.40937198767693217,0.0,0.0,0.4365920392593989,0.002938429580581825,0.0003822560642928517
15.264000000000001,0.40938311290713253,0.0,0.0,0.4365905824191785,0.0029375913638150218,0.00038133671080369116
15.265,0.4093958581973972,0.0,0.0,0.43658912557895807,0.0029367531470482202,0.00038041735731453226
15.266,0.4094097835275552,0.0,0.0,0.43658766873873767,0.0029359149302814187,0.00037949800382537337
15.267000000000001,0.40942444685962176,0.0,0.0,0.43658621189851726,0.002935076713514616,0.0003785786503362128
15.268,0.409439421925692,0.0,0.0,0.43658475505829686,0.0029342384967478144,0.0003776592968470539
15.269,0.40945430125232357,0.0,0.0,0.43658329821807645,0.002933400279981013,0.000376739943357895
15.270000000000001,0.40946870613449404,0.0,0.0,0.43658184137785605,0.002932562063214215,0.0003758205898687419
15.271,0.4094822939700745,0.0,0.0,0.43658071627804884,0.0029347746252102814,0.00037908665050392714
15.272,0.4094947706320127,0.0,0.0,0.43657959117824163,0.0029369871872063475,0.00038235271113911236
15.273000000000001,0.40950589136060755,0.0,0.0,0.4365784660784344,0.002939199749202418,0.0003856187717743033
15.274000000000001,0.4095154590360013,0.0,0.0,0.4365773409786272,0.002941412311198484,0.00038888483240948855
15.275,0.409523329544702,0.0,0.0,0.43657621587882,0.0029436248731945502,0.00039215089304467377
15.276,0.40952941587170155,0.0,0.0,0.4365750907790128,0.0029458374351906164,0.000395416953679859
15.277000000000001,0.4095336835668832,0.0,0.0,0.4365739656792056,0.0029480499971866864,0.00039868301431505
15.278,0.40953614414689327,0.0,0.0,0.4365728405793984,0.002950262559182753,0.00040194907495023517
15.279,0.40953685581102783,0.0,0.0,0.43657171547959117,0.002952475121178819,0.0004052151355854204
15.280000000000001,0.4095359197283372,0.0,0.0,0.43657059037978396,0.002954687683174889,0.0004084811962206114
15.281,0.40953347172713195,0.0,0.0,0.4365728874698657,0.0029692871580021935,0.0004235151424430681
15.282,0.409529676771093,0.0,0.0,0.4365751845599475,0.002983886632829498,0.00043854908866552473
15.283000000000001,0.40952472439336074,0.0,0.0,0.4365774816500293,0.0029984861076568278,0.0004535830348880081
15.284,0.40951882145767354,0.0,0.0,0.43657977874011106,0.003013085582484132,0.0004686169811104648
15.285,0.4095121850386483,0.0,0.0,0.4365820758301928,0.0030276850573114364,0.00048365092733292146
15.286000000000001,0.4095050354669916,0.0,0.0,0.4365843729202746,0.0030422845321387668,0.0004986848735554048
15.287,0.40949759141368647,0.0,0.0,0.43658667001035634,0.003056884006966071,0.0005137188197778615
15.288,0.40949006725366044,0.0,0.0,0.43658896710043815,0.003071483481793375,0.0005287527660003181
15.289000000000001,0.4094826635278369,0.0,0.0,0.4365912641905199,0.0030860829566207054,0.0005437867122228016
15.290000000000001,0.4094755618637015,0.0,0.0,0.43659356128060167,0.0031006824314480097,0.0005588206584452582
15.291,0.4094689244738071,0.0,0.0,0.4365945228958189,0.0030975036046086914,0.0005586088589422223
15.292,0.409462892115911,0.0,0.0,0.43659548451103614,0.0030943247777693726,0.0005583970594391865
15.293000000000001,0.4094575807538553,0.0,0.0,0.4365964461262534,0.0030911459509300487,0.0005581852599361503
15.294,0.40945307809069853,0.0,0.0,0.43659740774147066,0.0030879671240907304,0.0005579734604331144
15.295,0.40944944463917177,0.0,0.0,0.4365983693566879,0.003084788297251412,0.0005577616609300786
15.296000000000001,0.4094467162555027,0.0,0.0,0.4365993309719051,0.0030816094704120877,0.0005575498614270424
15.297,0.40944490283988855,0.0,0.0,0.43660029258712235,0.0030784306435727694,0.0005573380619240065
15.298,0.40944398843389823,0.0,0.0,0.43660125420233964,0.003075251816733451,0.0005571262624209707
15.299000000000001,0.4094439353494517,0.0,0.0,0.43660221581755687,0.0030720729898941266,0.0005569144629179345
15.3,0.40944468700831615,0.0,0.0,0.4366031774327741,0.0030688941630548083,0.0005567026634148986
15.301,0.40944617006394723,0.0,0.0,0.4366011855549033,0.003059191774893724,0.0005468071300958441
15.302000000000001,0.4094482959533312,0.0,0.0,0.4365991936770325,0.003049489386732622,0.000536911596776772
15.303,0.40945096609583215,0.0,0.0,0.43659720179916167,0.0030397869985715376,0.0005270160634577174
15.304,0.40945407464894756,0.0,0.0,0.43659520992129086,0.003030084610410453,0.0005171205301386629
15.305000000000001,0.4094575120664727,0.0,0.0,0.43659321804342005,0.003020382222249351,0.0005072249968195909
15.306000000000001,0.40946116768850993,0.0,0.0,0.43659122616554924,0.003010679834088267,0.0004973294635005364
15.307,0.4094649313675133,0.0,0.0,0.43658923428767843,0.003000977445927182,0.0004874339301814818
15.308,0.40946869766073857,0.0,0.0,0.4365872424098076,0.0029912750577660977,0.0004775383968624273
15.309000000000001,0.4094723698722045,0.0,0.0,0.4365852505319368,0.0029815726696049956,0.0004676428635433552
15.31,0.4094758600959614,0.0,0.0,0.436583258654066,0.0029718702814439113,0.0004577473302243007
15.311,0.40947909057576076,0.0,0.0,0.43658281072014554,0.0029767690541550374,0.000460012328616609
15.312000000000001,0.4094819946037872,0.0,0.0,0.43658236278622503,0.0029816678268661722,0.0004622773270089214
15.313,0.409484519067282,0.0,0.0,0.4365819148523046,0.002986566599577299,0.0004645423254012297
15.314,0.40948662516626966,0.0,0.0,0.43658146691838406,0.002991465372288425,0.00046680732379353806
15.315000000000001,0.40948828712148455,0.0,0.0,0.4365810189844636,0.0029963641449995597,0.0004690723221858504
15.316,0.40948949145293667,0.0,0.0,0.43658057105054315,0.003001262917710686,0.0004713373205781587
15.317,0.409490237699091,0.0,0.0,0.43658012311662264,0.003006161690421812,0.00047360231897046706
15.318000000000001,0.40949053824503623,0.0,0.0,0.4365796751827022,0.0030110604631329472,0.0004758673173627794
15.319,0.40949041568377165,0.0,0.0,0.4365792272487817,0.0030159592358440734,0.00047813231575508775
15.32,0.4094899016227348,0.0,0.0,0.4365787793148612,0.0030208580085551995,0.00048039731414739606
15.321000000000002,0.409489035475176,0.0,0.0,0.4365796963789838,0.0030251716860505012,0.00048264202951457116
15.322000000000001,0.4094878638451611,0.0,0.0,0.4365806134431064,0.0030294853635457948,0.00048488674488174224
